"統計名：","人口動態調査 人口動態統計 確定数 出生"
"表番号：","4-1"
"表題：","[上巻] 年次別にみた出生数・出生率（人口千対）・出生性比及び合計特殊出生率"
"実施年月：","2019年","-"

"***","調査又は集計していないもの"
"-","計数のない場合"
"・","統計項目のありえない場合"
"…","計数不明の場合"

"","","/出生数・出生率・出生性比 コード","00100","00110","00120","00130","00140","00150"
"時間軸(年次) コード","時間軸(年次)","/出生数・出生率・出生性比","出生数_総数【人】","出生数_男【人】","出生数_女【人】","出生率【人口千対】","出生性比【女子=100】","合計特殊出生率"
"2019000000","2019年","","865,239","443,430","421,809","7.0","105.1","1.36"
"2018000000","2018年","","918,400","470,851","447,549","7.4","105.2","1.42"
"2017000000","2017年","","946,146","484,478","461,668","7.6","104.9","1.43"
"2016000000","2016年","","977,242","502,012","475,230","7.8","105.6","1.44"
"2015000000","2015年","","1,005,721","515,468","490,253","8.0","105.1","1.45"
"2014000000","2014年","","1,003,609","515,572","488,037","8.0","105.6","1.42"
"2013000000","2013年","","1,029,817","527,657","502,160","8.2","105.1","1.43"
"2012000000","2012年","","1,037,232","531,781","505,451","8.2","105.2","1.41"
"2011000000","2011年","","1,050,807","538,271","512,536","8.3","105.0","1.39"
"2010000000","2010年","","1,071,305","550,743","520,562","8.5","105.8","1.39"
"2009000000","2009年","","1,070,036","548,994","521,042","8.5","105.4","1.37"
"2008000000","2008年","","1,091,156","559,513","531,643","8.7","105.2","1.37"
"2007000000","2007年","","1,089,818","559,847","529,971","8.6","105.6","1.34"
"2006000000","2006年","","1,092,674","560,439","532,235","8.7","105.3","1.32"
"2005000000","2005年","","1,062,530","545,032","517,498","8.4","105.3","1.26"
"2004000000","2004年","","1,110,721","569,559","541,162","8.8","105.2","1.29"
"2003000000","2003年","","1,123,610","576,736","546,874","8.9","105.5","1.29"
"2002000000","2002年","","1,153,855","592,840","561,015","9.2","105.7","1.32"
"2001000000","2001年","","1,170,662","600,918","569,744","9.3","105.5","1.33"
"2000000000","2000年","","1,190,547","612,148","578,399","9.5","105.8","1.36"
"1999000000","1999年","","1,177,669","604,769","572,900","9.4","105.6","1.34"
"1998000000","1998年","","1,203,147","617,414","585,733","9.6","105.4","1.38"
"1997000000","1997年","","1,191,665","610,905","580,760","9.5","105.2","1.39"
"1996000000","1996年","","1,206,555","619,793","586,762","9.7","105.6","1.43"
"1995000000","1995年","","1,187,064","608,547","578,517","9.6","105.2","1.42"
"1994000000","1994年","","1,238,328","635,915","602,413","10.0","105.6","1.50"
"1993000000","1993年","","1,188,282","610,244","578,038","9.6","105.6","1.46"
"1992000000","1992年","","1,208,989","622,136","586,853","9.8","106.0","1.50"
"1991000000","1991年","","1,223,245","628,615","594,630","9.9","105.7","1.53"
"1990000000","1990年","","1,221,585","626,971","594,614","10.0","105.4","1.54"
"1989000000","1989年","","1,246,802","640,506","606,296","10.2","105.6","1.57"
"1988000000","1988年","","1,314,006","674,883","639,123","10.8","105.6","1.66"
"1987000000","1987年","","1,346,658","692,304","654,354","11.1","105.8","1.69"
"1986000000","1986年","","1,382,946","711,301","671,645","11.4","105.9","1.72"
"1985000000","1985年","","1,431,577","735,284","696,293","11.9","105.6","1.76"
"1984000000","1984年","","1,489,780","764,597","725,183","12.5","105.4","1.81"
"1983000000","1983年","","1,508,687","775,206","733,481","12.7","105.7","1.80"
"1982000000","1982年","","1,515,392","777,855","737,537","12.8","105.5","1.77"
"1981000000","1981年","","1,529,455","786,596","742,859","13.0","105.9","1.74"
"1980000000","1980年","","1,576,889","811,418","765,471","13.6","106.0","1.75"
"1979000000","1979年","","1,642,580","845,884","796,696","14.2","106.2","1.77"
"1978000000","1978年","","1,708,643","879,149","829,494","14.9","106.0","1.79"
"1977000000","1977年","","1,755,100","903,380","851,720","15.5","106.1","1.80"
"1976000000","1976年","","1,832,617","943,829","888,788","16.3","106.2","1.85"
"1975000000","1975年","","1,901,440","979,091","922,349","17.1","106.2","1.91"
"1974000000","1974年","","2,029,989","1,046,538","983,451","18.6","106.4","2.05"
"1973000000","1973年","","2,091,983","1,077,517","1,014,466","19.4","106.2","2.14"
"1972000000","1972年","","2,038,682","1,051,389","987,293","19.3","106.5","2.14"
"1971000000","1971年","","2,000,973","1,032,937","968,036","19.2","106.7","2.16"
"1970000000","1970年","","1,934,239","1,000,403","933,836","18.8","107.1","2.13"
"1969000000","1969年","","1,889,815","977,687","912,128","18.5","107.2","2.13"
"1968000000","1968年","","1,871,839","967,996","903,843","18.6","107.1","2.13"
"1967000000","1967年","","1,935,647","992,778","942,869","19.4","105.3","2.23"
"1966000000","1966年","","1,360,974","705,463","655,511","13.7","107.6","1.58"
"1965000000","1965年","","1,823,697","935,366","888,331","18.6","105.3","2.14"
"1964000000","1964年","","1,716,761","882,924","833,837","17.7","105.9","2.05"
"1963000000","1963年","","1,659,521","852,561","806,960","17.3","105.7","2.00"
"1962000000","1962年","","1,618,616","833,269","785,347","17.0","106.1","1.98"
"1961000000","1961年","","1,589,372","817,599","771,773","16.9","105.9","1.96"
"1960000000","1960年","","1,606,041","824,761","781,280","17.2","105.6","2.00"
"1959000000","1959年","","1,626,088","835,822","790,266","17.5","105.8","2.04"
"1958000000","1958年","","1,653,469","848,733","804,736","18.0","105.5","2.11"
"1957000000","1957年","","1,566,713","805,220","761,493","17.2","105.7","2.04"
"1956000000","1956年","","1,665,278","856,084","809,194","18.4","105.8","2.22"
"1955000000","1955年","","1,730,692","889,670","841,022","19.4","105.8","2.37"
"1954000000","1954年","","1,769,580","911,212","858,368","20.0","106.2","2.48"
"1953000000","1953年","","1,868,040","957,524","910,516","21.5","105.2","2.69"
"1952000000","1952年","","2,005,162","1,028,061","977,101","23.4","105.2","2.98"
"1951000000","1951年","","2,137,689","1,094,641","1,043,048","25.3","104.9","3.26"
"1950000000","1950年","","2,337,507","1,203,111","1,134,396","28.1","106.1","3.65"
"1949000000","1949年","","2,696,638","1,380,008","1,316,630","33.0","104.8","4.32"
"1948000000","1948年","","2,681,624","1,378,564","1,303,060","33.5","105.8","4.40"
"1947000000","1947年","","2,678,792","1,376,986","1,301,806","34.3","105.8","4.54"
"1943000000","1943年","","2,253,535","1,155,983","1,097,552","30.9","105.3","…"
"1942000000","1942年","","2,233,660","1,145,068","1,088,592","30.9","105.2","…"
"1941000000","1941年","","2,277,283","1,165,437","1,111,846","31.8","104.8","…"
"1940000000","1940年","","2,115,867","1,084,282","1,031,585","29.4","105.1","…"
"1939000000","1939年","","1,901,573","973,744","927,829","26.6","104.9","…"
"1938000000","1938年","","1,928,321","990,888","937,433","27.2","105.7","…"
"1937000000","1937年","","2,180,734","1,116,154","1,064,580","30.9","104.8","…"
"1936000000","1936年","","2,101,969","1,076,197","1,025,772","30.0","104.9","…"
"1935000000","1935年","","2,190,704","1,122,867","1,067,836","31.6","105.2","…"
"1934000000","1934年","","2,043,783","1,042,736","1,001,047","29.9","104.2","…"
"1933000000","1933年","","2,121,253","1,087,688","1,033,565","31.5","105.2","…"
